Trace,Exp,Core_0_IPC,Core_1_IPC,Core_2_IPC,Core_3_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Filter
654.roms_s-1613B_4T,dspatch,0.634937,0.635051,0.636218,0.63647,120,96,24,0,0
654.roms_s-293B_4T,spp,1.20571,1.20427,1.20131,1.20426,329,10,242,0,0
654.roms_s-293B_4T,bingo,1.08674,1.08545,1.08302,1.08547,314,72,242,0,0
654.roms_s-293B_4T,mlop,1.08674,1.08545,1.08302,1.08547,314,72,242,0,0
654.roms_s-293B_4T,pythia,1.22947,1.23158,1.2279,1.23101,327,2,242,0,0
654.roms_s-293B_4T,ppf,0,0,0,0,0,0,0,0,0
654.roms_s-293B_4T,dspatch,1.08674,1.08545,1.08302,1.08547,314,72,242,0,0
654.roms_s-294B_4T,spp,0.909638,0.903605,0.897829,0.897008,939,85,0,0,0
654.roms_s-294B_4T,bingo,0.439353,0.440406,0.439562,0.440227,830,830,0,0,0
654.roms_s-294B_4T,mlop,0.526426,0.537645,0.52299,0.523713,1039,515,0,0,0
654.roms_s-294B_4T,pythia,0.994016,1.02321,0.994985,1.00186,946,35,0,0,0
654.roms_s-294B_4T,ppf,0,0,0,0,0,0,0,0,0
654.roms_s-294B_4T,dspatch,0.439353,0.440406,0.439562,0.440227,830,830,0,0,0
654.roms_s-523B_4T,spp,0.898799,0.911828,0.899203,0.896768,1455,74,570,0,0
654.roms_s-523B_4T,bingo,0.4541,0.463114,0.455162,0.45439,1396,825,571,0,0
654.roms_s-523B_4T,mlop,0.578865,0.607546,0.58651,0.581615,1552,490,568,0,0
654.roms_s-523B_4T,pythia,0.950283,0.979567,0.955276,0.957948,1452,42,570,0,0
654.roms_s-523B_4T,ppf,0,0,0,0,0,0,0,0,0
654.roms_s-523B_4T,dspatch,0.4541,0.463114,0.455162,0.45439,1396,825,571,0,0
